evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
177827,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
199526,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
223872,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
251188,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
281838,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
316227,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
354813,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
398107,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
446683,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
501187,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
562341,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
630957,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
707945,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
794328,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
891250,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
1000000,3.979836228,3.979836228,119.6598362,119.6598362,2.1784,-0.9832,-0.58131,3.0888,2.958,-2.7302,3.5608,2.356,3.5774,-1.9512
1,11653.38502,11653.38502,11649.67502,11649.67502,-4.5627,3.4434,4.269,-0.64038,-3.5431,-0.71959,3.9947,-2.0058,4.3926,1.8032
2,6631.767138,6631.767138,6628.057138,6628.057138,-3.792,4.8531,3.8436,-3.0323,2.5704,4.7378,3.5947,2.4063,-2.7186,3.7468
3,704.1620832,704.1620832,700.4520832,700.4520832,-3.2841,-2.1295,2.9634,0.94991,-4.4971,0.21066,-1.6681,0.17991,0.86137,-0.12345
4,719.5381336,704.1620832,715.8281336,700.4520832,-2.487,-3.3477,0.51322,-0.41946,-1.4107,1.7071,-3.3678,0.50878,-3.4565,3.7067
5,3391.443459,704.1620832,3387.733459,700.4520832,1.9304,-4.8191,4.2821,-3.5843,0.059544,4.6438,2.0083,4.5731,-3.83,2.5749
6,1905.866842,704.1620832,1902.156842,700.4520832,-4.4515,4.8198,3.8973,-3.9839,-3.9027,2.248,-3.4168,4.5523,-3.1642,3.8076
7,1785.982028,704.1620832,1782.272028,700.4520832,1.4737,0.4941,-1.6813,-4.7724,-4.8755,1.3548,1.1348,3.7,3.2946,2.4307
8,1634.807737,704.1620832,1631.097737,700.4520832,1.9646,0.64328,4.0793,2.4334,-3.3754,2.7436,-0.094916,1.1531,-2.2017,4.7759
10,1044.635378,500.3110198,1040.925378,496.6010198,-0.54357,2.6996,-4.3899,-3.6209,-3.898,-3.4997,-4.7501,-1.3173,0.73782,-4.773
11,5044.947142,500.3110198,5041.237142,496.6010198,2.6944,-1.3843,4.2518,1.5962,-1.7615,-4.2141,2.6979,3.5055,1.2363,-0.66285
12,6664.704533,500.3110198,6660.994533,496.6010198,3.4914,3.1184,-3.2179,-2.3566,3.2859,-2.8294,3.7802,-2.5196,-4.2202,3.6291
14,2966.544081,500.3110198,2962.834081,496.6010198,4.1387,-1.9928,-2.2434,3.6143,0.87767,1.5271,1.7435,-4.0251,3.821,3.2768
15,989.0023299,500.3110198,985.2923299,496.6010198,1.2816,-3.0112,-3.8862,-0.023216,4.4303,1.1255,-1.8943,-4.7744,2.1089,-3.6848
17,4419.896368,500.3110198,4416.186368,496.6010198,2.9684,4.676,2.9857,3.8851,-2.0629,-1.8375,2.1844,1.4512,3.8365,-4.2483
19,737.2290763,500.3110198,733.5190763,496.6010198,0.28976,1.9586,-4.4768,1.7982,4.2482,1.6341,-4.8814,-0.82541,1.0111,1.5306
22,1007.568342,500.3110198,1003.858342,496.6010198,1.9932,4.8685,-1.7877,-4.7646,4.5426,0.9278,-3.0795,-0.035825,1.9436,0.97682
25,635.3846542,500.3110198,631.6746542,496.6010198,3.9755,-2.3017,-3.849,3.5755,-1.9514,-3.8551,-1.4981,1.402,1.405,3.647
28,995.7878022,500.3110198,992.0778022,496.6010198,-4.1313,3.835,-3.6427,-4.1497,-0.70933,4.7575,-1.9787,4.0798,-3.5958,3.1957
31,5712.17097,500.3110198,5708.46097,496.6010198,-1.2265,4.9034,-1.5324,2.4934,-1.8873,3.9478,1.6489,0.32144,4.5464,-4.5903
35,2222.922234,500.3110198,2219.212234,496.6010198,-3.6032,1.1589,-2.9085,0.28909,2.3125,3.7301,2.1783,-0.64425,-0.94992,1.5543
39,3758.143615,398.1379093,3754.433615,394.4279093,-1.9645,4.3818,-0.40686,4.6197,-4.2712,2.5826,1.8715,-0.039491,4.1256,4.0851
44,688.8642206,398.1379093,685.1542206,394.4279093,-0.40422,-0.10915,-4.0421,-0.54326,-2.2187,5.0,-2.9286,5.0,1.5435,1.3258
50,374.9780708,248.1922017,371.2680708,244.4822017,1.0137,3.4117,-5.0,1.3791,-0.3857,1.5003,0.24991,-4.3079,-0.64903,0.22699
56,792.659228,248.1922017,788.949228,244.4822017,1.8127,5.0,-1.0288,2.9431,-5.0,0.086886,-2.5439,-2.0045,-3.4866,3.3378
63,1748.018832,248.1922017,1744.308832,244.4822017,-2.3716,2.8313,-0.26109,3.3115,-1.5289,5.0,-0.038025,1.426,3.4896,5.0
